CONCEPT NAME	DESCRIPTION	# ARGUMENTS	INCLUDES 	FOUND	CPP20 STD	IS CONCEPT	SPECIALIZATIONS	PASSING TYPES
same_as	specifies that a type is the same as another type	2	concepts	TRUE	TRUE	TRUE		
derived_from	specifies that a type is derived from another type	2	concepts	TRUE	TRUE	TRUE		
convertible_to	specifies that a type is implicitly convertible to another type	2	concepts	TRUE	TRUE	TRUE		
common_reference_with	specifies that two types share a common reference type	2	concepts	TRUE	TRUE	TRUE		
common_with	specifies that two types share a common type	2	concepts	TRUE	TRUE	TRUE		
integral	specifies that a type is an integral type	1	concepts	TRUE	TRUE	TRUE		unsigned long long;_Bool;char;short;int;long long;unsigned char;unsigned short;unsigned int
signed_integral	specifies that a type is an integral type that is signed	1	concepts	TRUE	TRUE	TRUE		short;char;int;long long
unsigned_integral	specifies that a type is an integral type that is unsigned	1	concepts	TRUE	TRUE	TRUE		unsigned long long;_Bool;unsigned char;unsigned short;unsigned int
floating_point	specifies that a type is a floating-point type	1	concepts	TRUE	TRUE	TRUE		float;double
assignable_from	specifies that a type is assignable from another type	2	concepts	TRUE	TRUE	TRUE		
swappable	specifies that a type can be swapped or that two types can be swapped with each other	1	concepts	TRUE	TRUE	TRUE		unsigned long long;_Bool;class std::forward_list<int>;long long *;char;class std::unordered_map<int, int>;char *;short;class std::basic_string<char>;int;int *;float;float *;double;double *;class std::_Deque_iterator<class std::_Deque_val<struct std::_Deque_simple_types<int> > >;long long;class std::variant<int, float>;class std::chrono::duration<int>;unsigned char;unsigned char *;unsigned short;class std::bitset<4>;unsigned int;unsigned int *;class std::array<int, 8>;unsigned long long *;class std::any;std::nullptr_t;class std::vector<int>;class std::optional<int>;class std::shared_ptr<int>;class std::deque<int>;class std::list<int>;class std::set<int>;class std::basic_string_view<char>;class std::multiset<int>;class std::span<int, 18446744073709551615>;class std::map<int, int>;class std::ostream_iterator<int>;class std::multimap<int, int>;class std::unordered_set<int>;class std::unique_ptr<int>;class std::unordered_multiset<int>;class std::unordered_multimap<int, int>;class std::function<void (int)>;class std::initializer_list<int>;class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<int> > >;class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<int> > >;class std::_Flist_iterator<class std::_Flist_val<struct std::_Flist_simple_types<int> > >;class std::istream_iterator<int>
swappable_with	specifies that a type can be swapped or that two types can be swapped with each other	2	concepts	TRUE	TRUE	TRUE		
destructible	specifies that an object of the type can be destroyed	1	concepts	TRUE	TRUE	TRUE		unsigned long long;_Bool;class std::forward_list<int>;long long *;char;class std::unordered_map<int, int>;char *;short;class std::basic_string<char>;int;int *;float;float *;double;double *;class std::_Deque_iterator<class std::_Deque_val<struct std::_Deque_simple_types<int> > >;long long;class std::variant<int, float>;class std::chrono::duration<int>;unsigned char;unsigned char *;unsigned short;class std::bitset<4>;unsigned int;unsigned int *;class std::array<int, 8>;unsigned long long *;class std::any;std::nullptr_t;class std::vector<int>;class std::optional<int>;class std::shared_ptr<int>;class std::deque<int>;class std::list<int>;class std::set<int>;class std::basic_string_view<char>;class std::multiset<int>;class std::span<int, 18446744073709551615>;class std::map<int, int>;class std::ostream_iterator<int>;class std::multimap<int, int>;class std::unordered_set<int>;class std::unique_ptr<int>;class std::unordered_multiset<int>;class std::unordered_multimap<int, int>;class std::function<void (int)>;class std::initializer_list<int>;class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<int> > >;class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<int> > >;class std::_Flist_iterator<class std::_Flist_val<struct std::_Flist_simple_types<int> > >;class std::istream_iterator<int>
constructible_from	specifies that a variable of the type can be constructed from or bound to a set of argument types	1	concepts	TRUE	TRUE	TRUE		unsigned long long;_Bool;class std::forward_list<int>;long long *;char;class std::unordered_map<int, int>;char *;short;class std::basic_string<char>;int;int *;float;float *;double;double *;class std::_Deque_iterator<class std::_Deque_val<struct std::_Deque_simple_types<int> > >;long long;class std::variant<int, float>;class std::chrono::duration<int>;unsigned char;unsigned char *;unsigned short;class std::bitset<4>;unsigned int;unsigned int *;class std::array<int, 8>;unsigned long long *;class std::any;std::nullptr_t;class std::vector<int>;class std::optional<int>;class std::shared_ptr<int>;class std::deque<int>;class std::list<int>;class std::set<int>;class std::basic_string_view<char>;class std::multiset<int>;class std::span<int, 18446744073709551615>;class std::map<int, int>;class std::multimap<int, int>;class std::unordered_set<int>;class std::unique_ptr<int>;class std::unordered_multiset<int>;class std::unordered_multimap<int, int>;class std::function<void (int)>;class std::initializer_list<int>;class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<int> > >;class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<int> > >;class std::_Flist_iterator<class std::_Flist_val<struct std::_Flist_simple_types<int> > >;class std::istream_iterator<int>
default_initializable	specifies that an object of a type can be default constructed	1	concepts	TRUE	TRUE	TRUE		unsigned long long;_Bool;class std::forward_list<int>;long long *;char;class std::unordered_map<int, int>;char *;short;class std::basic_string<char>;int;int *;float;float *;double;double *;class std::_Deque_iterator<class std::_Deque_val<struct std::_Deque_simple_types<int> > >;long long;class std::variant<int, float>;class std::chrono::duration<int>;unsigned char;unsigned char *;unsigned short;class std::bitset<4>;unsigned int;unsigned int *;class std::array<int, 8>;unsigned long long *;class std::any;std::nullptr_t;class std::vector<int>;class std::optional<int>;class std::shared_ptr<int>;class std::deque<int>;class std::list<int>;class std::set<int>;class std::basic_string_view<char>;class std::multiset<int>;class std::span<int, 18446744073709551615>;class std::map<int, int>;class std::multimap<int, int>;class std::unordered_set<int>;class std::unique_ptr<int>;class std::unordered_multiset<int>;class std::unordered_multimap<int, int>;class std::function<void (int)>;class std::initializer_list<int>;class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<int> > >;class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<int> > >;class std::_Flist_iterator<class std::_Flist_val<struct std::_Flist_simple_types<int> > >;class std::istream_iterator<int>
