CONCEPT NAME	DESCRIPTION	# ARGUMENTS	INCLUDES 	FOUND	CPP20 STD	IS CONCEPT	SPECIALIZATIONS	PASSING TYPES
same_as	specifies that a type is the same as another type	2	concepts	TRUE	TRUE	TRUE		
derived_from	specifies that a type is derived from another type	2	concepts	TRUE	TRUE	TRUE		
convertible_to	specifies that a type is implicitly convertible to another type	2	concepts	TRUE	TRUE	TRUE		
common_reference_with	specifies that two types share a common reference type	2	concepts	TRUE	TRUE	TRUE		
common_with	specifies that two types share a common type	2	concepts	TRUE	TRUE	TRUE		
integral	specifies that a type is an integral type	1	concepts	TRUE	TRUE	TRUE		
signed_integral	specifies that a type is an integral type that is signed	1	concepts	TRUE	TRUE	TRUE		
unsigned_integral	specifies that a type is an integral type that is unsigned	1	concepts	TRUE	TRUE	TRUE		
floating_point	specifies that a type is a floating-point type	1	concepts	TRUE	TRUE	TRUE		
assignable_from	specifies that a type is assignable from another type	2	concepts	TRUE	TRUE	TRUE		
swappable	specifies that a type can be swapped or that two types can be swapped with each other	1	concepts	TRUE	TRUE	TRUE		
swappable_with	specifies that a type can be swapped or that two types can be swapped with each other	2	concepts	TRUE	TRUE	TRUE		
destructible	specifies that an object of the type can be destroyed	1	concepts	TRUE	TRUE	TRUE		
constructible_from	specifies that a variable of the type can be constructed from or bound to a set of argument types	1	concepts	TRUE	TRUE	TRUE		
default_initializable	specifies that an object of a type can be default constructed	1	concepts	TRUE	TRUE	TRUE		
move_constructible	specifies that an object of a type can be move constructed	1	concepts	TRUE	TRUE	TRUE		
copy_constructible	specifies that an object of a type can be copy constructed and move constructed	1	concepts	TRUE	TRUE	TRUE		
boolean-testable	specifies that a type can be used in Boolean contexts	0	concepts	FALSE	TRUE	TRUE		
equality_comparable	specifies that operator == is an equivalence relation	1	concepts	TRUE	TRUE	TRUE		
equality_comparable_with	specifies that operator == is an equivalence relation	2	concepts	TRUE	TRUE	TRUE		
totally_ordered	specifies that the comparison operators on the type yield a total order	1	concepts	TRUE	TRUE	TRUE		
totally_ordered_with	specifies that the comparison operators on the type yield a total order	2	concepts	TRUE	TRUE	TRUE		
three_way_comparable	specifies that operator <=> produces consistent result on given types	1	concepts	TRUE	TRUE	TRUE		
three_way_comparable_with	specifies that operator <=> produces consistent result on given types	2	concepts	TRUE	TRUE	TRUE		
movable	specifies that an object of a type can be moved and swapped	1	concepts	TRUE	TRUE	TRUE		
copyable	specifies that an object of a type can be copied, moved, and swapped	1	concepts	TRUE	TRUE	TRUE		
semiregular	specifies that an object of a type can be copied, moved, swapped, and default constructed	1	concepts	TRUE	TRUE	TRUE		
regular	specifies that a type is regular, that is, it is both semiregular and equality_comparable	1	concepts	TRUE	TRUE	TRUE		
invocable	specifies that a callable type can be invoked with a given set of argument types	1	concepts	TRUE	TRUE	TRUE		
regular_invocable	specifies that a callable type can be invoked with a given set of argument types	1	concepts	TRUE	TRUE	TRUE		
predicate	specifies that a callable type is a Boolean predicate	1	concepts	TRUE	TRUE	TRUE		
relation	specifies that a callable type is a binary relation	3	concepts	TRUE	TRUE	TRUE		
equivalence_relation	specifies that a relation imposes an equivalence relation	3	concepts	TRUE	TRUE	TRUE		
strict_weak_order	specifies that a relation imposes a strict weak ordering	3	concepts	TRUE	TRUE	TRUE		
indirectly_readable	specifies that a type is indirectly readable by applying operator *	1	iterator	TRUE	TRUE	TRUE		
indirectly_writable	specifies that a value can be written to an iterator's referenced object	2	iterator	TRUE	TRUE	TRUE		
weakly_incrementable	specifies that a semiregular type can be incremented with pre- and post-increment operators	1	iterator	TRUE	TRUE	TRUE		
incrementable	specifies that the increment operation on a weakly_incrementable type is equality-preserving and that the type is equality_comparable	1	iterator	TRUE	TRUE	TRUE		
input_or_output_iterator	specifies that objects of a type can be incremented and dereferenced	1	iterator	TRUE	TRUE	TRUE		
sentinel_for	specifies a type is a sentinel for an input_or_output_iterator type	2	iterator	TRUE	TRUE	TRUE		
sized_sentinel_for	specifies that the - operator can be applied to an iterator and a sentinel to calculate their difference in constant time	2	iterator	TRUE	TRUE	TRUE		
input_iterator	specifies that a type is an input iterator, that is, its referenced values can be read and it can be both pre- and post-incremented	1	iterator	TRUE	TRUE	TRUE		
output_iterator	specifies that a type is an output iterator for a given value type, that is, values of that type can be written to it and it can be both pre- and post-incremented	2	iterator	TRUE	TRUE	TRUE		
forward_iterator	specifies that an input_iterator is a forward iterator, supporting equality comparison and multi-pass	1	iterator	TRUE	TRUE	TRUE		
bidirectional_iterator	specifies that a forward_iterator is a bidirectional iterator, supporting movement backwards	1	iterator	TRUE	TRUE	TRUE		
random_access_iterator	specifies that a bidirectional_iterator is a random-access iterator, supporting advancement in constant time and subscripting	1	iterator	TRUE	TRUE	TRUE		
contiguous_iterator	specifies that a random_access_iterator is a contiguous iterator, referring to elements that are contiguous in memory	1	iterator	TRUE	TRUE	TRUE		
indirectly_unary_invocable	specifies that a callable type can be invoked with the result of dereferencing an indirectly_readable type	2	iterator	TRUE	TRUE	TRUE		
indirectly_regular_unary_invocable	specifies that a callable type can be invoked with the result of dereferencing an indirectly_readable type	2	iterator	TRUE	TRUE	TRUE		
indirect_unary_predicate	specifies that a callable type, when invoked with the result of dereferencing an indirectly_readable type, satisfies predicate	2	iterator	TRUE	TRUE	TRUE		
indirect_binary_predicate	specifies that a callable type, when invoked with the result of dereferencing two indirectly_readable types, satisfies predicate	3	iterator	TRUE	TRUE	TRUE		
indirect_equivalence_relation	specifies that a callable type, when invoked with the result of dereferencing two indirectly_readable types, satisfies equivalence_relation	2	iterator	TRUE	TRUE	TRUE		
indirect_strict_weak_order	specifies that a callable type, when invoked with the result of dereferencing two indirectly_readable types, satisfies strict_weak_order	2	iterator	TRUE	TRUE	TRUE		
indirectly_movable	specifies that values may be moved from an indirectly_readable type to an indirectly_writable type	2	iterator	TRUE	TRUE	TRUE		
indirectly_movable_storable	specifies that values may be moved from an indirectly_readable type to an indirectly_writable type and that the move may be performed via an intermediate object	2	iterator	TRUE	TRUE	TRUE		
indirectly_copyable	specifies that values may be copied from an indirectly_readable type to an indirectly_writable type	2	iterator	TRUE	TRUE	TRUE		
