TYPE OF INTEREST	desugared type	includes	CPP20 STD
bool	_Bool		TRUE
char	char		TRUE
char*	char *		TRUE
short	short		TRUE
int	int		TRUE
int*	int *		TRUE
float	float		TRUE
float*	float *		TRUE
double	double		TRUE
double*	double *		TRUE
long long	long long		TRUE
long long*	long long *		TRUE
unsigned char	unsigned char		TRUE
unsigned char*	unsigned char *		TRUE
unsigned short	unsigned short		TRUE
unsigned int	unsigned int		TRUE
unsigned int*	unsigned int *		TRUE
unsigned long long	unsigned long long		TRUE
unsigned long long*	unsigned long long *		TRUE
std::nullptr_t	std::nullptr_t	cstddef	TRUE
class std::basic_string<char>	class std::basic_string<char>	string	TRUE
class std::array<int,8>	class std::array<int, 8>	array	TRUE
class std::vector<int>	class std::vector<int>	vector	TRUE
class std::deque<int>	class std::deque<int>	deque	TRUE
class std::list<int>	class std::list<int>	list	TRUE
class std::forward_list<int>	class std::forward_list<int>	forward_list	TRUE
class std::set<int>	class std::set<int>	set	TRUE
class std::multiset<int>	class std::multiset<int>	set	TRUE
class std::map<int,int>	class std::map<int, int>	map	TRUE
class std::multimap<int,int>	class std::multimap<int, int>	map	TRUE
class std::unordered_set<int>	class std::unordered_set<int>	unordered_set	TRUE
class std::unordered_multiset<int>	class std::unordered_multiset<int>	unordered_set	TRUE
class std::unordered_map<int,int>	class std::unordered_map<int, int>	unordered_map	TRUE
class std::unordered_multimap<int,int>	class std::unordered_multimap<int, int>	unordered_map	TRUE
class std::unique_ptr<int>	class std::unique_ptr<int>	memory	TRUE
class std::shared_ptr<int>	class std::shared_ptr<int>	memory	TRUE
class std::any	class std::any	any	TRUE
class std::bitset<4>	class std::bitset<4>	bitset	TRUE
class std::chrono::duration<int>	class std::chrono::duration<int>	chrono	TRUE
class std::function<void(int)>	class std::function<void (int)>	functional	TRUE
class std::initializer_list<int>	class std::initializer_list<int>	initializer_list	TRUE
class std::optional<int>	class std::optional<int>	optional	TRUE
class std::variant<int, float>	class std::variant<int, float>	variant	TRUE
class std::basic_string_view<char>	class std::basic_string_view<char>	string_view	TRUE
class std::span<int>	class std::span<int, 18446744073709551615>	span	TRUE
std::vector<int>::iterator	class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<int> > >	vector	TRUE
std::list<int>::iterator	class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<int> > >	list	TRUE
std::forward_list<int>::iterator	class std::_Flist_iterator<class std::_Flist_val<struct std::_Flist_simple_types<int> > >	forward_list	TRUE
std::deque<int>::iterator	class std::_Deque_iterator<class std::_Deque_val<struct std::_Deque_simple_types<int> > >	deque	TRUE
std::ostream_iterator<int>	class std::ostream_iterator<int>	iterator	TRUE
std::istream_iterator<int>	class std::istream_iterator<int>	iterator	TRUE
